stationId,polluant,valeur,date,heure
6,"SO2",1,"2024-09-27",1
6,"O3",7,"2024-09-27",1
6,"NO2",4,"2024-09-27",1
6,"PM",8,"2024-09-27",1
17,"O3",10,"2024-09-27",1
17,"NO2",2,"2024-09-27",1
17,"PM",8,"2024-09-27",1
28,"CO",1,"2024-09-27",1
28,"O3",6,"2024-09-27",1
28,"NO2",4,"2024-09-27",1
28,"PM",9,"2024-09-27",1
31,"SO2",0,"2024-09-27",1
31,"CO",1,"2024-09-27",1
31,"O3",11,"2024-09-27",1
31,"NO2",2,"2024-09-27",1
31,"PM",7,"2024-09-27",1
50,"PM",6,"2024-09-27",1
55,"CO",1,"2024-09-27",1
55,"O3",8,"2024-09-27",1
55,"NO2",2,"2024-09-27",1
55,"PM",7,"2024-09-27",1
66,"O3",9,"2024-09-27",1
66,"NO2",3,"2024-09-27",1
66,"PM",6,"2024-09-27",1
80,"SO2",1,"2024-09-27",1
80,"O3",10,"2024-09-27",1
80,"NO2",3,"2024-09-27",1
80,"PM",7,"2024-09-27",1
99,"O3",12,"2024-09-27",1
99,"NO2",1,"2024-09-27",1
99,"PM",6,"2024-09-27",1
103,"O3",6,"2024-09-27",1
103,"NO2",3,"2024-09-27",1
103,"PM",10,"2024-09-27",1
3,"SO2",1,"2024-09-27",0
3,"O3",6,"2024-09-27",0
3,"NO2",6,"2024-09-27",0
3,"PM",8,"2024-09-27",0
6,"SO2",1,"2024-09-27",0
6,"O3",5,"2024-09-27",0
6,"NO2",5,"2024-09-27",0
6,"PM",8,"2024-09-27",0
17,"O3",3,"2024-09-27",0
17,"NO2",6,"2024-09-27",0
17,"PM",8,"2024-09-27",0
28,"CO",1,"2024-09-27",0
28,"O3",4,"2024-09-27",0
28,"NO2",4,"2024-09-27",0
28,"PM",10,"2024-09-27",0
31,"SO2",0,"2024-09-27",0
31,"CO",1,"2024-09-27",0
31,"O3",14,"2024-09-27",0
31,"NO2",2,"2024-09-27",0
31,"PM",7,"2024-09-27",0
50,"PM",7,"2024-09-27",0
55,"CO",1,"2024-09-27",0
55,"O3",8,"2024-09-27",0
55,"NO2",2,"2024-09-27",0
55,"PM",7,"2024-09-27",0
66,"O3",11,"2024-09-27",0
66,"NO2",2,"2024-09-27",0
66,"PM",6,"2024-09-27",0
80,"SO2",1,"2024-09-27",0
80,"O3",12,"2024-09-27",0
80,"NO2",3,"2024-09-27",0
80,"PM",8,"2024-09-27",0
99,"O3",11,"2024-09-27",0
99,"NO2",2,"2024-09-27",0
99,"PM",6,"2024-09-27",0
103,"O3",7,"2024-09-27",0
103,"NO2",3,"2024-09-27",0
103,"PM",10,"2024-09-27",0
3,"SO2",2,"2024-09-27",4
3,"O3",8,"2024-09-27",4
3,"NO2",2,"2024-09-27",4
3,"PM",7,"2024-09-27",4
6,"SO2",1,"2024-09-27",4
6,"O3",6,"2024-09-27",4
6,"NO2",3,"2024-09-27",4
6,"PM",7,"2024-09-27",4
17,"O3",9,"2024-09-27",4
17,"NO2",1,"2024-09-27",4
17,"PM",7,"2024-09-27",4
28,"CO",1,"2024-09-27",4
28,"O3",5,"2024-09-27",4
28,"NO2",3,"2024-09-27",4
28,"PM",8,"2024-09-27",4
31,"SO2",0,"2024-09-27",4
31,"CO",1,"2024-09-27",4
31,"O3",10,"2024-09-27",4
31,"NO2",2,"2024-09-27",4
31,"PM",7,"2024-09-27",4
50,"PM",7,"2024-09-27",4
55,"CO",1,"2024-09-27",4
55,"O3",7,"2024-09-27",4
55,"NO2",1,"2024-09-27",4
55,"PM",6,"2024-09-27",4
3,"O3",12,"2024-09-27",13
3,"NO2",1,"2024-09-27",13
3,"PM",5,"2024-09-27",13
6,"SO2",1,"2024-09-27",13
6,"O3",10,"2024-09-27",13
6,"NO2",1,"2024-09-27",13
